cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_hurto
05,ANTIOQUIA,05001,MEDELLIN,2011,10,100
05,ANTIOQUIA,05001,MEDELLIN,2011,11,104
05,ANTIOQUIA,05001,MEDELLIN,2011,12,122
05,ANTIOQUIA,05001,MEDELLIN,2012,1,254
05,ANTIOQUIA,05001,MEDELLIN,2012,2,193
05,ANTIOQUIA,05001,MEDELLIN,2012,3,209
05,ANTIOQUIA,05001,MEDELLIN,2012,4,292
05,ANTIOQUIA,05001,MEDELLIN,2012,5,230
05,ANTIOQUIA,05001,MEDELLIN,2012,6,283
05,ANTIOQUIA,05001,MEDELLIN,2012,7,299
05,ANTIOQUIA,05001,MEDELLIN,2012,8,260
05,ANTIOQUIA,05001,MEDELLIN,2012,9,232
05,ANTIOQUIA,05001,MEDELLIN,2012,10,143
05,ANTIOQUIA,05001,MEDELLIN,2012,11,106
05,ANTIOQUIA,05001,MEDELLIN,2012,12,236
05,ANTIOQUIA,05001,MEDELLIN,2013,1,550
05,ANTIOQUIA,05001,MEDELLIN,2013,2,232
05,ANTIOQUIA,05001,MEDELLIN,2013,3,129
05,ANTIOQUIA,05001,MEDELLIN,2013,4,176
05,ANTIOQUIA,05001,MEDELLIN,2013,5,111
05,ANTIOQUIA,05001,MEDELLIN,2013,6,186
05,ANTIOQUIA,05001,MEDELLIN,2013,7,247
05,ANTIOQUIA,05001,MEDELLIN,2013,8,254
05,ANTIOQUIA,05001,MEDELLIN,2013,9,419
05,ANTIOQUIA,05001,MEDELLIN,2013,10,670
05,ANTIOQUIA,05001,MEDELLIN,2013,11,304
05,ANTIOQUIA,05001,MEDELLIN,2013,12,264
05,ANTIOQUIA,05001,MEDELLIN,2014,1,493
05,ANTIOQUIA,05001,MEDELLIN,2014,2,477
05,ANTIOQUIA,05001,MEDELLIN,2014,3,552
05,ANTIOQUIA,05001,MEDELLIN,2014,4,195
05,ANTIOQUIA,05001,MEDELLIN,2014,5,374
05,ANTIOQUIA,05001,MEDELLIN,2014,6,391
05,ANTIOQUIA,05001,MEDELLIN,2014,7,421
05,ANTIOQUIA,05001,MEDELLIN,2014,8,348
05,ANTIOQUIA,05001,MEDELLIN,2014,9,559
05,ANTIOQUIA,05001,MEDELLIN,2014,10,384
05,ANTIOQUIA,05001,MEDELLIN,2014,11,413
05,ANTIOQUIA,05001,MEDELLIN,2014,12,342
05,ANTIOQUIA,05001,MEDELLIN,2015,1,497
05,ANTIOQUIA,05001,MEDELLIN,2015,2,717
05,ANTIOQUIA,05001,MEDELLIN,2015,3,609
05,ANTIOQUIA,05001,MEDELLIN,2015,4,645
05,ANTIOQUIA,05001,MEDELLIN,2015,5,671
05,ANTIOQUIA,05001,MEDELLIN,2015,6,608
05,ANTIOQUIA,05001,MEDELLIN,2015,7,717
05,ANTIOQUIA,05001,MEDELLIN,2015,8,761
05,ANTIOQUIA,05001,MEDELLIN,2015,9,684
05,ANTIOQUIA,05001,MEDELLIN,2015,10,718
05,ANTIOQUIA,05001,MEDELLIN,2015,11,583
05,ANTIOQUIA,05001,MEDELLIN,2015,12,628
05,ANTIOQUIA,05001,MEDELLIN,2016,1,726
05,ANTIOQUIA,05001,MEDELLIN,2016,2,874
05,ANTIOQUIA,05001,MEDELLIN,2016,3,870
05,ANTIOQUIA,05001,MEDELLIN,2016,4,1135
05,ANTIOQUIA,05001,MEDELLIN,2016,5,1079
05,ANTIOQUIA,05001,MEDELLIN,2016,6,1012
05,ANTIOQUIA,05001,MEDELLIN,2016,7,1068
05,ANTIOQUIA,05001,MEDELLIN,2016,8,1202
05,ANTIOQUIA,05001,MEDELLIN,2016,9,1274
05,ANTIOQUIA,05001,MEDELLIN,2016,10,1411
05,ANTIOQUIA,05001,MEDELLIN,2016,11,1461
05,ANTIOQUIA,05001,MEDELLIN,2016,12,1313
05,ANTIOQUIA,05001,MEDELLIN,2017,1,1095
05,ANTIOQUIA,05001,MEDELLIN,2017,2,1199
05,ANTIOQUIA,05001,MEDELLIN,2017,3,1465
05,ANTIOQUIA,05001,MEDELLIN,2017,4,1222
05,ANTIOQUIA,05001,MEDELLIN,2017,5,1327
05,ANTIOQUIA,05001,MEDELLIN,2017,6,1172
05,ANTIOQUIA,05001,MEDELLIN,2017,7,1266
05,ANTIOQUIA,05001,MEDELLIN,2017,8,1880
05,ANTIOQUIA,05001,MEDELLIN,2017,9,1648
05,ANTIOQUIA,05001,MEDELLIN,2017,10,1853
05,ANTIOQUIA,05001,MEDELLIN,2017,11,1903
05,ANTIOQUIA,05001,MEDELLIN,2017,12,1795
05,ANTIOQUIA,05001,MEDELLIN,2018,1,1398
05,ANTIOQUIA,05001,MEDELLIN,2018,2,1524
05,ANTIOQUIA,05001,MEDELLIN,2018,3,1586
05,ANTIOQUIA,05001,MEDELLIN,2018,4,1885
05,ANTIOQUIA,05001,MEDELLIN,2018,5,1934
05,ANTIOQUIA,05001,MEDELLIN,2018,6,1880
05,ANTIOQUIA,05001,MEDELLIN,2018,7,1816
05,ANTIOQUIA,05001,MEDELLIN,2018,8,2343
05,ANTIOQUIA,05001,MEDELLIN,2018,9,1935
05,ANTIOQUIA,05001,MEDELLIN,2018,10,2016
05,ANTIOQUIA,05001,MEDELLIN,2018,11,1876
