cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_terrorismo
05,ANTIOQUIA,05031,AMALFI,2024,10,1
05,ANTIOQUIA,05031,AMALFI,2025,9,2
05,ANTIOQUIA,05031,AMALFI,2025,10,1
05,ANTIOQUIA,05034,ANDES,2013,5,1
05,ANTIOQUIA,05034,ANDES,2016,3,2
05,ANTIOQUIA,05034,ANDES,2025,8,1
05,ANTIOQUIA,05038,ANGOSTURA,2003,3,1
05,ANTIOQUIA,05038,ANGOSTURA,2003,4,1
05,ANTIOQUIA,05038,ANGOSTURA,2003,10,2
05,ANTIOQUIA,05038,ANGOSTURA,2004,2,1
05,ANTIOQUIA,05038,ANGOSTURA,2004,8,1
05,ANTIOQUIA,05038,ANGOSTURA,2005,5,1
05,ANTIOQUIA,05038,ANGOSTURA,2005,6,1
05,ANTIOQUIA,05038,ANGOSTURA,2006,3,1
05,ANTIOQUIA,05038,ANGOSTURA,2014,7,1
05,ANTIOQUIA,05038,ANGOSTURA,2014,11,1
05,ANTIOQUIA,05038,ANGOSTURA,2016,2,1
05,ANTIOQUIA,05038,ANGOSTURA,2020,9,1
05,ANTIOQUIA,05038,ANGOSTURA,2021,12,1
05,ANTIOQUIA,05038,ANGOSTURA,2022,3,2
05,ANTIOQUIA,05038,ANGOSTURA,2022,4,4
05,ANTIOQUIA,05038,ANGOSTURA,2023,3,1
05,ANTIOQUIA,05038,ANGOSTURA,2023,6,2
05,ANTIOQUIA,05038,ANGOSTURA,2023,9,1
05,ANTIOQUIA,05038,ANGOSTURA,2024,5,2
05,ANTIOQUIA,05040,ANORI,2003,9,1
05,ANTIOQUIA,05040,ANORI,2003,10,1
05,ANTIOQUIA,05040,ANORI,2005,9,1
05,ANTIOQUIA,05040,ANORI,2007,2,1
05,ANTIOQUIA,05040,ANORI,2007,12,1
05,ANTIOQUIA,05040,ANORI,2008,5,1
05,ANTIOQUIA,05040,ANORI,2008,6,1
05,ANTIOQUIA,05040,ANORI,2010,7,2
05,ANTIOQUIA,05040,ANORI,2011,8,1
05,ANTIOQUIA,05040,ANORI,2011,12,2
05,ANTIOQUIA,05040,ANORI,2012,2,1
05,ANTIOQUIA,05040,ANORI,2012,7,1
05,ANTIOQUIA,05040,ANORI,2012,9,1
05,ANTIOQUIA,05040,ANORI,2013,1,1
05,ANTIOQUIA,05040,ANORI,2013,2,1
05,ANTIOQUIA,05040,ANORI,2013,4,1
05,ANTIOQUIA,05040,ANORI,2013,5,3
05,ANTIOQUIA,05040,ANORI,2013,6,1
05,ANTIOQUIA,05040,ANORI,2013,9,1
05,ANTIOQUIA,05040,ANORI,2013,10,2
05,ANTIOQUIA,05040,ANORI,2013,11,1
05,ANTIOQUIA,05040,ANORI,2013,12,1
05,ANTIOQUIA,05040,ANORI,2014,1,1
05,ANTIOQUIA,05040,ANORI,2014,2,1
05,ANTIOQUIA,05040,ANORI,2014,5,2
05,ANTIOQUIA,05040,ANORI,2014,6,1
05,ANTIOQUIA,05040,ANORI,2014,7,1
05,ANTIOQUIA,05040,ANORI,2014,8,1
05,ANTIOQUIA,05040,ANORI,2014,9,3
05,ANTIOQUIA,05040,ANORI,2014,11,1
05,ANTIOQUIA,05040,ANORI,2015,6,1
05,ANTIOQUIA,05040,ANORI,2015,7,2
05,ANTIOQUIA,05040,ANORI,2016,7,1
05,ANTIOQUIA,05040,ANORI,2016,12,1
05,ANTIOQUIA,05040,ANORI,2018,3,1
05,ANTIOQUIA,05040,ANORI,2018,8,1
05,ANTIOQUIA,05040,ANORI,2019,1,5
05,ANTIOQUIA,05040,ANORI,2019,3,1
05,ANTIOQUIA,05040,ANORI,2019,7,1
05,ANTIOQUIA,05040,ANORI,2019,8,2
05,ANTIOQUIA,05040,ANORI,2019,10,2
05,ANTIOQUIA,05040,ANORI,2019,12,1
05,ANTIOQUIA,05040,ANORI,2020,2,1
05,ANTIOQUIA,05040,ANORI,2020,4,1
05,ANTIOQUIA,05040,ANORI,2020,9,1
05,ANTIOQUIA,05040,ANORI,2021,3,2
05,ANTIOQUIA,05040,ANORI,2021,4,1
05,ANTIOQUIA,05040,ANORI,2021,8,1
05,ANTIOQUIA,05040,ANORI,2021,11,2
05,ANTIOQUIA,05040,ANORI,2022,1,1
05,ANTIOQUIA,05040,ANORI,2022,4,1
05,ANTIOQUIA,05040,ANORI,2022,5,2
05,ANTIOQUIA,05040,ANORI,2022,6,1
05,ANTIOQUIA,05040,ANORI,2023,1,2
05,ANTIOQUIA,05040,ANORI,2023,2,1
05,ANTIOQUIA,05040,ANORI,2023,6,4
05,ANTIOQUIA,05040,ANORI,2023,8,1
05,ANTIOQUIA,05040,ANORI,2023,9,3
05,ANTIOQUIA,05040,ANORI,2023,10,3
05,ANTIOQUIA,05040,ANORI,2023,11,3
05,ANTIOQUIA,05040,ANORI,2023,12,1
05,ANTIOQUIA,05040,ANORI,2024,2,1
05,ANTIOQUIA,05040,ANORI,2024,7,1
05,ANTIOQUIA,05040,ANORI,2024,10,1
05,ANTIOQUIA,05040,ANORI,2025,3,1
05,ANTIOQUIA,05040,ANORI,2025,8,4
05,ANTIOQUIA,05040,ANORI,2025,9,3
05,ANTIOQUIA,05040,ANORI,2025,10,2
05,ANTIOQUIA,05040,ANORI,2025,11,3
