,MAE (Train),MAE (Test),RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Tiempo (s)
Linear Regression,4.056861565965364,9.63331941514583,19.889139094730975,46.39576682834713,0.8823444950787634,0.7684784757309889,1.3606958389282227
Random Forest,1.3850115023889578,7.558491161616162,7.431690094493382,60.33027682331885,0.9835731056475603,0.6085238622990765,26.07843542098999
Gradient Boosting,3.280127843500996,7.700259375180082,6.991572152614462,59.26484956156056,0.9854611528831483,0.6222286384415427,42.244566440582275
XGBoost,1.7479151487350464,8.432669639587402,2.7011413351830145,79.46525073400794,0.9978299140930176,0.3208133578300476,1.0206079483032227
