cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,cobertura_2g,cobertura_3g,cobertura_4g,cobertura_lte,cobertura_5g
05,ANTIOQUIA,05040,ANORÍ,2019,1,1,0,1,0
05,ANTIOQUIA,05040,ANORÍ,2020,1,1,0,1,0
05,ANTIOQUIA,05040,ANORÍ,2021,1,1,1,1,0
05,ANTIOQUIA,05040,ANORÍ,2022,1,1,1,0,0
05,ANTIOQUIA,05040,ANORÍ,2023,1,1,1,0,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2015,1,1,0,0,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2016,1,1,0,0,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2017,1,1,0,1,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2018,1,1,0,1,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2019,1,1,0,1,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2020,1,1,0,1,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2021,1,1,1,1,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2022,1,1,1,0,0
05,ANTIOQUIA,05042,SANTAFÉ DE ANTIOQUIA,2023,1,1,1,0,0
05,ANTIOQUIA,05044,ANZA,2015,1,1,0,0,0
05,ANTIOQUIA,05044,ANZA,2016,1,1,0,0,0
05,ANTIOQUIA,05044,ANZA,2017,1,1,0,0,0
05,ANTIOQUIA,05044,ANZA,2018,1,1,0,1,0
05,ANTIOQUIA,05044,ANZA,2019,1,1,0,1,0
05,ANTIOQUIA,05044,ANZA,2020,1,1,0,1,0
05,ANTIOQUIA,05044,ANZA,2021,1,1,1,1,0
05,ANTIOQUIA,05044,ANZA,2022,1,1,1,0,0
05,ANTIOQUIA,05044,ANZA,2023,1,1,1,0,0
05,ANTIOQUIA,05045,APARTADÓ,2015,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2016,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2017,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2018,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2019,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2020,1,1,0,1,0
05,ANTIOQUIA,05045,APARTADÓ,2021,1,1,1,1,0
05,ANTIOQUIA,05045,APARTADÓ,2022,1,1,1,0,0
05,ANTIOQUIA,05045,APARTADÓ,2023,1,1,1,0,0
05,ANTIOQUIA,05051,ARBOLETES,2015,1,1,0,0,0
05,ANTIOQUIA,05051,ARBOLETES,2016,1,1,0,0,0
05,ANTIOQUIA,05051,ARBOLETES,2017,1,1,0,1,0
05,ANTIOQUIA,05051,ARBOLETES,2018,1,1,0,1,0
05,ANTIOQUIA,05051,ARBOLETES,2019,1,1,0,1,0
05,ANTIOQUIA,05051,ARBOLETES,2020,1,1,0,1,0
05,ANTIOQUIA,05051,ARBOLETES,2021,1,1,1,1,0
05,ANTIOQUIA,05051,ARBOLETES,2022,1,1,1,0,0
05,ANTIOQUIA,05051,ARBOLETES,2023,1,1,1,0,0
05,ANTIOQUIA,05055,ARGELIA,2015,1,1,0,0,0
05,ANTIOQUIA,05055,ARGELIA,2016,1,1,0,1,0
05,ANTIOQUIA,05055,ARGELIA,2017,1,1,0,1,0
05,ANTIOQUIA,05055,ARGELIA,2018,1,1,0,1,0
05,ANTIOQUIA,05055,ARGELIA,2019,1,1,0,1,0
05,ANTIOQUIA,05055,ARGELIA,2020,1,1,0,1,0
05,ANTIOQUIA,05055,ARGELIA,2021,1,1,1,1,0
05,ANTIOQUIA,05055,ARGELIA,2022,1,1,1,0,0
05,ANTIOQUIA,05055,ARGELIA,2023,1,1,1,0,0
05,ANTIOQUIA,05059,ARMENIA,2015,1,1,0,0,0
05,ANTIOQUIA,05059,ARMENIA,2016,1,1,0,0,0
05,ANTIOQUIA,05059,ARMENIA,2017,1,1,0,1,0
05,ANTIOQUIA,05059,ARMENIA,2018,1,1,0,1,0
05,ANTIOQUIA,05059,ARMENIA,2019,1,1,0,1,0
05,ANTIOQUIA,05059,ARMENIA,2020,1,1,0,1,0
05,ANTIOQUIA,05059,ARMENIA,2021,1,1,1,1,0
05,ANTIOQUIA,05059,ARMENIA,2022,1,1,1,0,0
05,ANTIOQUIA,05059,ARMENIA,2023,1,1,1,0,0
05,ANTIOQUIA,05079,BARBOSA,2015,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2016,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2017,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2018,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2019,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2020,1,1,0,1,0
05,ANTIOQUIA,05079,BARBOSA,2021,1,1,1,1,0
05,ANTIOQUIA,05079,BARBOSA,2022,1,1,1,0,0
05,ANTIOQUIA,05079,BARBOSA,2023,1,1,1,0,0
05,ANTIOQUIA,05086,BELMIRA,2015,1,1,0,0,0
05,ANTIOQUIA,05086,BELMIRA,2016,1,1,0,0,0
05,ANTIOQUIA,05086,BELMIRA,2017,1,1,0,0,0
05,ANTIOQUIA,05086,BELMIRA,2018,1,1,0,0,0
05,ANTIOQUIA,05086,BELMIRA,2019,1,1,0,1,0
05,ANTIOQUIA,05086,BELMIRA,2020,1,1,0,1,0
05,ANTIOQUIA,05086,BELMIRA,2021,1,1,1,1,0
05,ANTIOQUIA,05086,BELMIRA,2022,1,1,1,0,0
05,ANTIOQUIA,05086,BELMIRA,2023,1,1,1,0,0
05,ANTIOQUIA,05088,BELLO,2015,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2016,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2017,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2018,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2019,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2020,1,1,0,1,0
05,ANTIOQUIA,05088,BELLO,2021,1,1,1,1,0
05,ANTIOQUIA,05088,BELLO,2022,1,1,1,0,0
05,ANTIOQUIA,05088,BELLO,2023,1,1,1,0,0
05,ANTIOQUIA,05091,BETANIA,2015,1,1,0,0,0
05,ANTIOQUIA,05091,BETANIA,2016,1,1,0,0,0
05,ANTIOQUIA,05091,BETANIA,2017,1,1,0,1,0
05,ANTIOQUIA,05091,BETANIA,2018,1,1,0,1,0
05,ANTIOQUIA,05091,BETANIA,2019,1,1,0,1,0
05,ANTIOQUIA,05091,BETANIA,2020,1,1,0,1,0
05,ANTIOQUIA,05091,BETANIA,2021,1,1,1,1,0
05,ANTIOQUIA,05091,BETANIA,2022,1,1,1,0,0
05,ANTIOQUIA,05091,BETANIA,2023,1,1,1,0,0
05,ANTIOQUIA,05093,BETULIA,2015,1,1,0,0,0
05,ANTIOQUIA,05093,BETULIA,2016,1,1,0,0,0
05,ANTIOQUIA,05093,BETULIA,2017,1,1,0,0,0
05,ANTIOQUIA,05093,BETULIA,2018,1,1,0,1,0
05,ANTIOQUIA,05093,BETULIA,2019,1,1,0,1,0
05,ANTIOQUIA,05093,BETULIA,2020,1,1,0,1,0
05,ANTIOQUIA,05093,BETULIA,2021,1,1,1,1,0
05,ANTIOQUIA,05093,BETULIA,2022,1,1,1,0,0
05,ANTIOQUIA,05093,BETULIA,2023,1,1,1,0,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2015,1,1,0,0,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2016,1,1,0,0,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2017,1,1,0,0,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2018,1,1,0,1,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2019,1,1,0,1,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2020,1,1,0,1,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2021,1,1,1,1,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2022,1,1,1,0,0
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,2023,1,1,1,0,0
05,ANTIOQUIA,05107,BRICEÑO,2015,1,1,0,0,0
05,ANTIOQUIA,05107,BRICEÑO,2016,1,1,0,1,0
05,ANTIOQUIA,05107,BRICEÑO,2017,1,1,0,1,0
05,ANTIOQUIA,05107,BRICEÑO,2018,1,1,0,1,0
05,ANTIOQUIA,05107,BRICEÑO,2019,1,1,0,1,0
05,ANTIOQUIA,05107,BRICEÑO,2020,1,1,0,1,0
05,ANTIOQUIA,05107,BRICEÑO,2021,1,1,1,1,0
05,ANTIOQUIA,05107,BRICEÑO,2022,1,1,1,0,0
05,ANTIOQUIA,05107,BRICEÑO,2023,1,1,1,0,0
05,ANTIOQUIA,05113,BURITICÁ,2015,1,1,0,0,0
05,ANTIOQUIA,05113,BURITICÁ,2016,1,1,0,1,0
05,ANTIOQUIA,05113,BURITICÁ,2017,1,1,0,1,0
05,ANTIOQUIA,05113,BURITICÁ,2018,1,1,0,1,0
05,ANTIOQUIA,05113,BURITICÁ,2019,1,1,0,1,0
05,ANTIOQUIA,05113,BURITICÁ,2020,1,1,0,1,0
05,ANTIOQUIA,05113,BURITICÁ,2021,1,1,1,1,0
05,ANTIOQUIA,05113,BURITICÁ,2022,1,1,1,0,0
05,ANTIOQUIA,05113,BURITICÁ,2023,1,1,1,0,0
05,ANTIOQUIA,05120,CÁCERES,2015,1,1,0,0,0
05,ANTIOQUIA,05120,CÁCERES,2016,1,1,0,0,0
05,ANTIOQUIA,05120,CÁCERES,2017,1,1,0,0,0
05,ANTIOQUIA,05120,CÁCERES,2018,1,1,0,1,0
05,ANTIOQUIA,05120,CÁCERES,2019,1,1,0,1,0
05,ANTIOQUIA,05120,CÁCERES,2020,1,1,0,1,0
05,ANTIOQUIA,05120,CÁCERES,2021,1,1,1,1,0
05,ANTIOQUIA,05120,CÁCERES,2022,1,1,1,0,0
05,ANTIOQUIA,05120,CÁCERES,2023,1,1,1,0,0
05,ANTIOQUIA,05125,CAICEDO,2015,1,1,0,0,0
05,ANTIOQUIA,05125,CAICEDO,2016,1,1,0,0,0
05,ANTIOQUIA,05125,CAICEDO,2017,1,1,0,1,0
05,ANTIOQUIA,05125,CAICEDO,2018,1,1,0,1,0
05,ANTIOQUIA,05125,CAICEDO,2019,1,1,0,1,0
05,ANTIOQUIA,05125,CAICEDO,2020,1,1,0,1,0
05,ANTIOQUIA,05125,CAICEDO,2021,1,1,1,1,0
05,ANTIOQUIA,05125,CAICEDO,2022,1,1,1,0,0
05,ANTIOQUIA,05125,CAICEDO,2023,1,1,1,0,0
05,ANTIOQUIA,05129,CALDAS,2015,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2016,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2017,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2018,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2019,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2020,1,1,0,1,0
05,ANTIOQUIA,05129,CALDAS,2021,1,1,1,1,0
05,ANTIOQUIA,05129,CALDAS,2022,1,1,1,0,0
05,ANTIOQUIA,05129,CALDAS,2023,1,1,1,0,0
05,ANTIOQUIA,05134,CAMPAMENTO,2015,1,1,0,0,0
05,ANTIOQUIA,05134,CAMPAMENTO,2016,1,1,0,0,0
05,ANTIOQUIA,05134,CAMPAMENTO,2017,1,1,0,0,0
05,ANTIOQUIA,05134,CAMPAMENTO,2018,1,1,0,1,0
05,ANTIOQUIA,05134,CAMPAMENTO,2019,1,1,0,1,0
05,ANTIOQUIA,05134,CAMPAMENTO,2020,1,1,0,1,0
05,ANTIOQUIA,05134,CAMPAMENTO,2021,1,1,1,1,0
05,ANTIOQUIA,05134,CAMPAMENTO,2022,1,1,1,0,0
05,ANTIOQUIA,05134,CAMPAMENTO,2023,1,1,1,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2015,1,1,0,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2016,1,1,0,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2017,1,1,0,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2018,1,1,0,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2019,1,1,0,1,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2020,1,1,0,1,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2021,1,1,1,1,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2022,1,1,1,0,0
05,ANTIOQUIA,05138,CAÑASGORDAS,2023,1,1,1,0,0
