cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_homicidio
05,ANTIOQUIA,05001,MEDELLIN,2011,10,86
05,ANTIOQUIA,05001,MEDELLIN,2011,11,110
05,ANTIOQUIA,05001,MEDELLIN,2011,12,112
05,ANTIOQUIA,05001,MEDELLIN,2012,1,68
05,ANTIOQUIA,05001,MEDELLIN,2012,2,90
05,ANTIOQUIA,05001,MEDELLIN,2012,3,94
05,ANTIOQUIA,05001,MEDELLIN,2012,4,93
05,ANTIOQUIA,05001,MEDELLIN,2012,5,102
05,ANTIOQUIA,05001,MEDELLIN,2012,6,122
05,ANTIOQUIA,05001,MEDELLIN,2012,7,106
05,ANTIOQUIA,05001,MEDELLIN,2012,8,100
05,ANTIOQUIA,05001,MEDELLIN,2012,9,115
05,ANTIOQUIA,05001,MEDELLIN,2012,10,121
05,ANTIOQUIA,05001,MEDELLIN,2012,11,113
05,ANTIOQUIA,05001,MEDELLIN,2012,12,105
05,ANTIOQUIA,05001,MEDELLIN,2013,1,87
05,ANTIOQUIA,05001,MEDELLIN,2013,2,96
05,ANTIOQUIA,05001,MEDELLIN,2013,3,102
05,ANTIOQUIA,05001,MEDELLIN,2013,4,84
05,ANTIOQUIA,05001,MEDELLIN,2013,5,91
05,ANTIOQUIA,05001,MEDELLIN,2013,6,84
05,ANTIOQUIA,05001,MEDELLIN,2013,7,58
05,ANTIOQUIA,05001,MEDELLIN,2013,8,69
05,ANTIOQUIA,05001,MEDELLIN,2013,9,61
05,ANTIOQUIA,05001,MEDELLIN,2013,10,44
05,ANTIOQUIA,05001,MEDELLIN,2013,11,58
05,ANTIOQUIA,05001,MEDELLIN,2013,12,65
05,ANTIOQUIA,05001,MEDELLIN,2014,1,67
05,ANTIOQUIA,05001,MEDELLIN,2014,2,44
05,ANTIOQUIA,05001,MEDELLIN,2014,3,66
05,ANTIOQUIA,05001,MEDELLIN,2014,4,53
05,ANTIOQUIA,05001,MEDELLIN,2014,5,55
05,ANTIOQUIA,05001,MEDELLIN,2014,6,81
05,ANTIOQUIA,05001,MEDELLIN,2014,7,51
05,ANTIOQUIA,05001,MEDELLIN,2014,8,57
05,ANTIOQUIA,05001,MEDELLIN,2014,9,44
05,ANTIOQUIA,05001,MEDELLIN,2014,10,45
05,ANTIOQUIA,05001,MEDELLIN,2014,11,40
05,ANTIOQUIA,05001,MEDELLIN,2014,12,40
05,ANTIOQUIA,05001,MEDELLIN,2015,1,31
05,ANTIOQUIA,05001,MEDELLIN,2015,2,29
05,ANTIOQUIA,05001,MEDELLIN,2015,3,46
05,ANTIOQUIA,05001,MEDELLIN,2015,4,33
05,ANTIOQUIA,05001,MEDELLIN,2015,5,33
05,ANTIOQUIA,05001,MEDELLIN,2015,6,48
05,ANTIOQUIA,05001,MEDELLIN,2015,7,40
05,ANTIOQUIA,05001,MEDELLIN,2015,8,40
05,ANTIOQUIA,05001,MEDELLIN,2015,9,46
05,ANTIOQUIA,05001,MEDELLIN,2015,10,40
05,ANTIOQUIA,05001,MEDELLIN,2015,11,58
05,ANTIOQUIA,05001,MEDELLIN,2015,12,35
05,ANTIOQUIA,05001,MEDELLIN,2016,1,48
05,ANTIOQUIA,05001,MEDELLIN,2016,2,40
05,ANTIOQUIA,05001,MEDELLIN,2016,3,29
05,ANTIOQUIA,05001,MEDELLIN,2016,4,24
05,ANTIOQUIA,05001,MEDELLIN,2016,5,56
05,ANTIOQUIA,05001,MEDELLIN,2016,6,56
05,ANTIOQUIA,05001,MEDELLIN,2016,7,49
05,ANTIOQUIA,05001,MEDELLIN,2016,8,39
05,ANTIOQUIA,05001,MEDELLIN,2016,9,44
05,ANTIOQUIA,05001,MEDELLIN,2016,10,52
05,ANTIOQUIA,05001,MEDELLIN,2016,11,44
05,ANTIOQUIA,05001,MEDELLIN,2016,12,49
05,ANTIOQUIA,05001,MEDELLIN,2017,1,39
05,ANTIOQUIA,05001,MEDELLIN,2017,2,54
05,ANTIOQUIA,05001,MEDELLIN,2017,3,24
05,ANTIOQUIA,05001,MEDELLIN,2017,4,40
05,ANTIOQUIA,05001,MEDELLIN,2017,5,40
05,ANTIOQUIA,05001,MEDELLIN,2017,6,46
05,ANTIOQUIA,05001,MEDELLIN,2017,7,61
05,ANTIOQUIA,05001,MEDELLIN,2017,8,56
05,ANTIOQUIA,05001,MEDELLIN,2017,9,41
05,ANTIOQUIA,05001,MEDELLIN,2017,10,64
05,ANTIOQUIA,05001,MEDELLIN,2017,11,47
05,ANTIOQUIA,05001,MEDELLIN,2017,12,60
05,ANTIOQUIA,05001,MEDELLIN,2018,1,56
05,ANTIOQUIA,05001,MEDELLIN,2018,2,40
05,ANTIOQUIA,05001,MEDELLIN,2018,3,42
05,ANTIOQUIA,05001,MEDELLIN,2018,4,57
05,ANTIOQUIA,05001,MEDELLIN,2018,5,64
05,ANTIOQUIA,05001,MEDELLIN,2018,6,66
05,ANTIOQUIA,05001,MEDELLIN,2018,7,54
05,ANTIOQUIA,05001,MEDELLIN,2018,8,52
05,ANTIOQUIA,05001,MEDELLIN,2018,9,42
05,ANTIOQUIA,05001,MEDELLIN,2018,10,51
05,ANTIOQUIA,05001,MEDELLIN,2018,11,45
05,ANTIOQUIA,05001,MEDELLIN,2018,12,56
05,ANTIOQUIA,05001,MEDELLIN,2019,1,53
05,ANTIOQUIA,05001,MEDELLIN,2019,2,45
05,ANTIOQUIA,05001,MEDELLIN,2019,3,55
05,ANTIOQUIA,05001,MEDELLIN,2019,4,73
05,ANTIOQUIA,05001,MEDELLIN,2019,5,74
05,ANTIOQUIA,05001,MEDELLIN,2019,6,42
05,ANTIOQUIA,05001,MEDELLIN,2019,7,41
05,ANTIOQUIA,05001,MEDELLIN,2019,8,48
05,ANTIOQUIA,05001,MEDELLIN,2019,9,38
05,ANTIOQUIA,05001,MEDELLIN,2019,10,35
05,ANTIOQUIA,05001,MEDELLIN,2019,11,30
05,ANTIOQUIA,05001,MEDELLIN,2019,12,42
05,ANTIOQUIA,05001,MEDELLIN,2020,1,27
05,ANTIOQUIA,05001,MEDELLIN,2020,2,44
05,ANTIOQUIA,05001,MEDELLIN,2020,3,23
05,ANTIOQUIA,05001,MEDELLIN,2020,4,21
05,ANTIOQUIA,05001,MEDELLIN,2020,5,42
05,ANTIOQUIA,05001,MEDELLIN,2020,6,32
05,ANTIOQUIA,05001,MEDELLIN,2020,7,26
05,ANTIOQUIA,05001,MEDELLIN,2020,8,38
05,ANTIOQUIA,05001,MEDELLIN,2020,9,33
05,ANTIOQUIA,05001,MEDELLIN,2020,10,27
05,ANTIOQUIA,05001,MEDELLIN,2020,11,25
05,ANTIOQUIA,05001,MEDELLIN,2020,12,28
05,ANTIOQUIA,05001,MEDELLIN,2021,1,35
05,ANTIOQUIA,05001,MEDELLIN,2021,2,26
05,ANTIOQUIA,05001,MEDELLIN,2021,3,31
05,ANTIOQUIA,05001,MEDELLIN,2021,4,38
05,ANTIOQUIA,05001,MEDELLIN,2021,5,37
05,ANTIOQUIA,05001,MEDELLIN,2021,6,43
05,ANTIOQUIA,05001,MEDELLIN,2021,7,27
05,ANTIOQUIA,05001,MEDELLIN,2021,8,29
05,ANTIOQUIA,05001,MEDELLIN,2021,9,27
05,ANTIOQUIA,05001,MEDELLIN,2021,10,29
05,ANTIOQUIA,05001,MEDELLIN,2021,11,26
05,ANTIOQUIA,05001,MEDELLIN,2021,12,43
05,ANTIOQUIA,05001,MEDELLIN,2022,1,25
05,ANTIOQUIA,05001,MEDELLIN,2022,2,29
05,ANTIOQUIA,05001,MEDELLIN,2022,3,35
05,ANTIOQUIA,05001,MEDELLIN,2022,4,29
05,ANTIOQUIA,05001,MEDELLIN,2022,5,34
05,ANTIOQUIA,05001,MEDELLIN,2022,6,34
05,ANTIOQUIA,05001,MEDELLIN,2022,7,31
05,ANTIOQUIA,05001,MEDELLIN,2022,8,22
05,ANTIOQUIA,05001,MEDELLIN,2022,9,28
05,ANTIOQUIA,05001,MEDELLIN,2022,10,30
05,ANTIOQUIA,05001,MEDELLIN,2022,11,33
05,ANTIOQUIA,05001,MEDELLIN,2022,12,28
05,ANTIOQUIA,05001,MEDELLIN,2023,1,28
05,ANTIOQUIA,05001,MEDELLIN,2023,2,27
05,ANTIOQUIA,05001,MEDELLIN,2023,3,37
05,ANTIOQUIA,05001,MEDELLIN,2023,4,25
05,ANTIOQUIA,05001,MEDELLIN,2023,5,24
05,ANTIOQUIA,05001,MEDELLIN,2023,6,29
05,ANTIOQUIA,05001,MEDELLIN,2023,7,32
05,ANTIOQUIA,05001,MEDELLIN,2023,8,36
05,ANTIOQUIA,05001,MEDELLIN,2023,9,33
05,ANTIOQUIA,05001,MEDELLIN,2023,10,32
05,ANTIOQUIA,05001,MEDELLIN,2023,11,25
05,ANTIOQUIA,05001,MEDELLIN,2023,12,31
05,ANTIOQUIA,05001,MEDELLIN,2024,1,26
05,ANTIOQUIA,05001,MEDELLIN,2024,2,27
05,ANTIOQUIA,05001,MEDELLIN,2024,3,34
05,ANTIOQUIA,05001,MEDELLIN,2024,4,16
05,ANTIOQUIA,05001,MEDELLIN,2024,5,19
05,ANTIOQUIA,05001,MEDELLIN,2024,6,18
05,ANTIOQUIA,05001,MEDELLIN,2024,7,21
05,ANTIOQUIA,05001,MEDELLIN,2024,8,35
05,ANTIOQUIA,05001,MEDELLIN,2024,9,31
05,ANTIOQUIA,05001,MEDELLIN,2024,10,28
05,ANTIOQUIA,05001,MEDELLIN,2024,11,25
05,ANTIOQUIA,05001,MEDELLIN,2024,12,29
05,ANTIOQUIA,05001,MEDELLIN,2025,1,26
05,ANTIOQUIA,05001,MEDELLIN,2025,2,19
05,ANTIOQUIA,05001,MEDELLIN,2025,3,40
05,ANTIOQUIA,05001,MEDELLIN,2025,4,22
05,ANTIOQUIA,05001,MEDELLIN,2025,5,39
05,ANTIOQUIA,05001,MEDELLIN,2025,6,20
05,ANTIOQUIA,05001,MEDELLIN,2025,7,32
05,ANTIOQUIA,05001,MEDELLIN,2025,8,25
05,ANTIOQUIA,05001,MEDELLIN,2025,9,24
05,ANTIOQUIA,05001,MEDELLIN,2025,10,26
05,ANTIOQUIA,05001,MEDELLIN,2025,11,22
05,ANTIOQUIA,05001,MEDELLIN,2025,12,31
05,ANTIOQUIA,05001,MEDELLIN,2026,1,28
05,ANTIOQUIA,05001,MEDELLIN,2026,2,11
05,ANTIOQUIA,05002,ABEJORRAL,2003,1,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,2,3
05,ANTIOQUIA,05002,ABEJORRAL,2003,3,3
05,ANTIOQUIA,05002,ABEJORRAL,2003,4,8
05,ANTIOQUIA,05002,ABEJORRAL,2003,5,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2003,7,3
05,ANTIOQUIA,05002,ABEJORRAL,2003,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,9,1
05,ANTIOQUIA,05002,ABEJORRAL,2003,10,2
05,ANTIOQUIA,05002,ABEJORRAL,2003,11,4
05,ANTIOQUIA,05002,ABEJORRAL,2003,12,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,3,2
05,ANTIOQUIA,05002,ABEJORRAL,2004,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,8,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2004,12,3
05,ANTIOQUIA,05002,ABEJORRAL,2005,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,4,2
05,ANTIOQUIA,05002,ABEJORRAL,2005,5,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,6,2
05,ANTIOQUIA,05002,ABEJORRAL,2005,8,2
05,ANTIOQUIA,05002,ABEJORRAL,2005,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2005,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2006,1,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,4,3
05,ANTIOQUIA,05002,ABEJORRAL,2006,5,2
05,ANTIOQUIA,05002,ABEJORRAL,2006,6,2
05,ANTIOQUIA,05002,ABEJORRAL,2006,10,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,11,1
05,ANTIOQUIA,05002,ABEJORRAL,2006,12,2
05,ANTIOQUIA,05002,ABEJORRAL,2007,2,1
05,ANTIOQUIA,05002,ABEJORRAL,2007,3,1
05,ANTIOQUIA,05002,ABEJORRAL,2007,6,1
05,ANTIOQUIA,05002,ABEJORRAL,2007,7,1
05,ANTIOQUIA,05002,ABEJORRAL,2007,10,2
