COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
5,ANTIOQUIA,5030,AMAGA,2023,2.0,1.0,0.0,0.0,5,5030,32142,1.0,1.0,1.0
5,ANTIOQUIA,5030,AMAGA,2024,4.0,1.0,0.0,0.0,5,5030,32412,0.0,0.0,0.0
5,ANTIOQUIA,5031,AMALFI,2018,7.0,1.0,0.0,0.0,5,5031,25962,1.0,1.0,0.0
5,ANTIOQUIA,5031,AMALFI,2019,13.0,1.083333333333333,0.0,0.0,5,5031,26439,1.0,1.0,0.0
5,ANTIOQUIA,5031,AMALFI,2020,4.0,1.0,0.0,0.0,5,5031,26876,1.0,1.0,0.0
5,ANTIOQUIA,5031,AMALFI,2021,4.0,1.0,0.0,0.0,5,5031,27155,1.0,1.0,1.0
5,ANTIOQUIA,5031,AMALFI,2022,5.0,1.0,2.0,1.0,5,5031,27398,1.0,1.0,1.0
5,ANTIOQUIA,5031,AMALFI,2023,3.0,1.0,0.0,0.0,5,5031,27637,1.0,1.0,1.0
5,ANTIOQUIA,5031,AMALFI,2024,6.0,1.0,0.0,0.0,5,5031,27846,0.0,0.0,0.0
5,ANTIOQUIA,5034,ANDES,2018,5.0,1.0,0.0,0.0,5,5034,43269,1.0,1.0,0.0
5,ANTIOQUIA,5034,ANDES,2019,9.0,1.0,1.0,1.0,5,5034,43983,1.0,1.0,0.0
5,ANTIOQUIA,5034,ANDES,2020,8.0,1.0,2.0,1.0,5,5034,44614,1.0,1.0,0.0
5,ANTIOQUIA,5034,ANDES,2021,15.0,1.0,0.0,0.0,5,5034,44983,1.0,1.0,1.0
