ano,actividad,sector,tipo_de_precios,cod_dpto,dpto_nombre,valor_agregado
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,44,La Guajira,2912.68
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,47,Magdalena,14.51
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,50,Meta,2494.11
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,52,Nariño,68.39
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,54,Norte de Santander,259.88
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,86,Putumayo,331.07
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,63,Quindío,11.31
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,66,Risaralda,47.47
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",0.98
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,68,Santander,681.85
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,70,Sucre,10.61
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,73,Tolima,1193.39
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,76,Valle del Cauca,137.48
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,97,Vaupés,0.94
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,99,Vichada,1.0
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,91,Amazonas,8.82
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,05,Antioquia,15897.91
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,81,Arauca,117.48
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,08,Atlántico,4588.05
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,11,Bogotá D.C.,18034.87
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,13,Bolívar,4141.56
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,15,Boyacá,2045.73
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,17,Caldas,1599.57
